No,Nama Mcd,latitude,longitude
1,McDonald's Bandung Indah Plaza,-6.907957,107.610834
2,McDonald's Simpang Dago (Jl. Ir. H. Juanda 181),-6.884722,107.613333
3,McDonald's Plaza Istana (Istana Plaza),-6.906111,107.597222
4,McDonald's Buah Batu,-6.938889,107.625
5,McDonald's Dr. Setiabudhi (Setiabudhi),-6.883056,107.601389
6,McDonald's Podomoro Park,-6.9755,107.6363
7,McDonald's Pasir Koja (Soekarno Hatta No.128-130),-6.9299,107.5758
8,"McDonald's Kopo (Kopo Mas, Jl. Kopo No.618)",-6.9595,107.5801
9,McDonald's Telkom Diponegoro (Jl. Diponegoro No.42),-6.9014,107.6212
10,McDonald's Surya Sumantri,-6.8859,107.5812
11,McDonald's Ujung Berung (Jl. A.H. Nasution area),-6.9136,107.6983
12,McDonald's BEC (Bandung Electronic Centre / Istana BEC kiosk),-6.9091,107.6089
13,McDonald's The King's Plaza (The King's / Kepatihan),-6.9231,107.6051
14,McDonald's Kiara Artha Park,-6.9169,107.6426
